# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1363
#@/user_id	myrimedata-windows
a 	啊	c=4 d=0.585669 t=1363
lia ren 	俩人	c=2 d=0.0241288 t=1363
lian hua qing wen 	连花清瘟	c=2 d=0.647685 t=1363
lian jie 	链接	c=2 d=1.71712 t=1363
lian zi 	练字	c=2 d=1.64156 t=1363
liang jian 	两件	c=0 d=0.067032 t=1363
liang jian 	两肩	c=2 d=1.35751 t=1363
liang san nian 	两三年	c=0 d=0.00309618 t=1363
liang san nian a ge 	两三年阿哥	c=1 d=0.031117 t=1363
lie wu 	猎物	c=2 d=1.83244 t=1363
lin yin 	林荫	c=2 d=1.40586 t=1363
liu gan 	流感	c=2 d=0.03546 t=1363
liu lan qi 	浏览器	c=2 d=0.15117 t=1363
liu shui xian 	流水线	c=6 d=1.03489 t=1363
lu 	鹿	c=2 d=1.91678 t=1363
lu you 	路由	c=4 d=0.756862 t=1363
lu you qi 	路由器	c=2 d=0.454139 t=1363
lun wen 	论文	c=1 d=0.00554422 t=1363
ma 	吗	c=2 d=1.34388 t=1363
ma ma 	妈妈	c=4 d=1.0732 t=1363
ma ren 	骂人	c=2 d=0.0264011 t=1363
ma yi 	蚂蚁	c=2 d=0.0246162 t=1363
mai 	买	c=4 d=0.101483 t=1363
mai 	卖	c=2 d=0.0728501 t=1363
man 	慢	c=3 d=1.09282 t=1363
mao zi 	帽子	c=2 d=0.386992 t=1363
me 	么	c=8 d=1.31997 t=1363
mei 	每	c=2 d=0.262016 t=1363
mei 	没	c=9 d=0.616856 t=1363
mei ci 	每次	c=4 d=0.57694 t=1363
mei da kai 	没打开	c=1 d=0.130029 t=1363
mei fa 	没法	c=2 d=0.0394751 t=1363
mei fa shui 	没法谁	c=1 d=0.0184074 t=1363
mei kong 	没空	c=2 d=0.121317 t=1363
mei ri 	每日	c=2 d=0.923716 t=1363
mei sha shi 	没啥事	c=1 d=0.00440507 t=1363
mei ti 	媒体	c=0 d=0.1 t=1363
mei ti shi 	媒体是	c=1 d=1 t=1363
mei tian 	每天	c=2 d=0.928346 t=1363
mei yao qiu 	没要求	c=1 d=0.0235177 t=1363
mei you 	没有	c=4 d=2.12976 t=1363
mei zhao 	没招	c=0 d=0.0158025 t=1363
mei zhao zhe 	没招这	c=1 d=0.158817 t=1363
men 	们	c=4 d=2.87436 t=1363
men 	门	c=2 d=0.262016 t=1363
men de 	们的	c=1 d=1.04019 t=1363
mi 	米	c=2 d=1.92639 t=1363
mi ma 	密码	c=8 d=7.43471 t=1363
mian yi 	免疫	c=2 d=0.0284573 t=1363
miao shang 	瞄上	c=2 d=0.680892 t=1363
miao zhun 	瞄准	c=1 d=0.217621 t=1363
ming 	名	c=2 d=0.274076 t=1363
ming tian 	明天	c=2 d=0.253004 t=1363
mo ren she zhi 	默认设置	c=2 d=0.458704 t=1363
mo sheng 	陌生	c=0 d=0.00110536 t=1363
mu lu 	目录	c=4 d=1.41951 t=1363
mu yu 	沐浴	c=1 d=0.726044 t=1363
mu yu hou 	沐浴后	c=1 d=0.66034 t=1363
na 	拿	c=6 d=0.542496 t=1363
na 	那	c=4 d=2.17021 t=1363
na ben 	拿本	c=2 d=0.118914 t=1363
na bian 	那边	c=4 d=0.82944 t=1363
na ke shu 	那棵树	c=2 d=0.961413 t=1363
na kuai di 	拿快递	c=3 d=0.0193906 t=1363
na li 	哪里	c=4 d=2.35479 t=1363
na li 	那里	c=2 d=1.204 t=1363
na me 	那么	c=2 d=0.0142023 t=1363
na zhong 	那种	c=2 d=0.0265334 t=1363
nan mian 	难免	c=2 d=0.10868 t=1363
nei cun 	内存	c=7 d=1.37291 t=1363
neng 	能	c=6 d=1.0742 t=1363
ni 	你	c=17 d=3.58705 t=1363
ni hao 	你好	c=3 d=1.76409 t=1363
ni hui 	你会	c=2 d=1.45594 t=1363
ni xiao 	匿笑	c=2 d=1.21003 t=1363
nian hou 	年后	c=4 d=0.168081 t=1363
nian nei 	年内	c=0 d=0.00211736 t=1363
nian qian 	年前	c=4 d=0.167243 t=1363
niao 	鸟	c=2 d=0.00896568 t=1363
nin 	您	c=2 d=0.0168341 t=1363
niu bi 	牛逼	c=2 d=1.69156 t=1363
nong si 	弄死	c=2 d=1.35074 t=1363
o ye 	噢耶	c=2 d=0.0277066 t=1363
ou da 	殴打	c=1 d=1.0145 t=1363
ou er 	偶尔	c=2 d=0.338121 t=1363
pai 	拍	c=4 d=0.11478 t=1363
